Running seek with root {-3,5,8,8,} and ceiling 2147483647
Time: Sat Apr 18 20:07:58 2015

In seek
Running fuchsian
71725953576th iteration: 2521648157 2250485189 41281484 1600219340
71940701940th iteration: 75701 4799217749 3375779132 4197188768
72155450304th iteration: 2499280661 2831431229 83765792 1666474568
72370198668th iteration: 563568245 2487239597 5437405376 5632344092
72584947032th iteration: 3348788093 120330989 4834877780 5457230228
72799695396th iteration: 541067957 10065053 403239284 636014756
73014443760th iteration: 1978280981 2177901677 1192475972 98565560
73229192124th iteration: 357799613 460914485 550154288 6519224
73443940488th iteration: 1424593613 1698737237 6235291916 6237943184
73658688852th iteration: 3149371181 2807997941 1994843240 52482068
73873437216th iteration: 3301815317 1393742213 3199790552 368489888
74088185580th iteration: 18491637 5197093965 3619196256 4160830152
74302933944th iteration: 3980526573 2240179293 217257852 4134398112
74517682308th iteration: 1054136861 932497013 1305454796 44300
74732430672th iteration: 2213285453 1256293325 2317609928 119566484
74947179036th iteration: 5454218493 6162953541 3743789580 146914956
75161927400th iteration: 2302511205 24111117 3137139444 3411216804
75376675764th iteration: 2327873573 513236501 654999284 2330681192
75591424128th iteration: 5386418717 4137236957 5856037448 145748
75806172492th iteration: 3523754085 2400805293 19136064 3226809768
76020920856th iteration: 4119933 1484477517 2131594128 1943591592
76235669220th iteration: 2344380365 13015613 3115912604 3406368128
76450417584th iteration: 922966173 1356566949 7663956 1242186372
76665165948th iteration: 3832927437 689154213 3805896216 1255688784
76879914312th iteration: 1814529669 139189005 948290652 1934125344
77094662676th iteration: 119622941 3344319605 2194723268 3767708756
77309411040th iteration: 4331284205 2038143197 4102206332 357215276
77524159404th iteration: 500448837 982739901 2894931912 2903862240
77738907768th iteration: 3351405605 51459101 2882780348 2131397216
77953656132th iteration: 3649460405 4573884077 906512 5194160396
78168404496th iteration: 5364124437 5108209221 2512939932 451549920
78383152860th iteration: 7015258877 7040809349 1336894016 2223842408
78597901224th iteration: 1826899709 1759247429 162252260 844370072
78812649588th iteration: 4692486309 4193819373 5914136940 10590288
79027397952th iteration: 1405743293 1156447253 1715770340 12074804
79242146316th iteration: 76245 214950477 305787012 262284756
79456894680th iteration: 1050767285 911617637 640740752 23813036
79671643044th iteration: 5010465549 3547082013 4141376160 955068
79886391408th iteration: 41338269 629448189 316386720 586455192
80101139772th iteration: 649721261 62509541 624835964 290888924
80315888136th iteration: 3164240165 2240905541 2942079992 1412
80530636500th iteration: 217756805 2344487309 1087957988 2334637688
80745384864th iteration: 3237479853 4136374557 3000739356 51084
80960133228th iteration: 2386664573 2283123797 214943624 1093189856
81174881592th iteration: 1397342229 1356339933 647440920 124824528
81389629956th iteration: 5768565 708577533 521166348 774889164
81604378320th iteration: 3364692117 328631973 6212196408 5995396032
81819126684th iteration: 3742147533 119612733 2523661980 4256919564
82033875048th iteration: 1986067181 4600702829 540681656 4749540224
82248623412th iteration: 1603279461 4050357 1283334972 1125840300
82463371776th iteration: 6182635733 2723242757 5965830872 622037408
82678120140th iteration: 5526270797 17404925 4404376532 3867762836
82892868504th iteration: 2687061 326825877 270226872 218095680
83107616868th iteration: 6385909221 2958641589 562502604 6142400796
83322365232th iteration: 383847365 5258555933 2800894244 5628793268
83537113596th iteration: 23692661 928253717 813090404 557754968
83751861960th iteration: 1126996749 746765133 10913220 1024820388
83966610324th iteration: 2057630421 1831534221 35708508 1297772220
84181358688th iteration: 4979963181 4525449693 7926576 6327446280
84396107052th iteration: 126809205 5164296837 3624294984 5898329904
84610855416th iteration: 4187283741 3383681805 2980027536 1845288
84825603780th iteration: 3083590517 6675739085 593605076 6426855812
85040352144th iteration: 8798405 2152432277 2442175124 3067209224
85255100508th iteration: 2712074973 531095013 5727739752 5860602432
85469848872th iteration: 4980952581 5048167053 774450816 1825163880
85684597236th iteration: 5487252245 175391309 3679249628 6205217408
85899345600th iteration: 3202508181 4364443125 4444532256 555708
86114093964th iteration: 4849948397 5918635421 4206963752 20
86328842328th iteration: 6114172869 5226098013 3866793360 99332748
86543590692th iteration: 2756743205 1233592613 2860893476 301987076
86758339056th iteration: 25264685 2492118461 3092184836 3703954148
86973087420th iteration: 87477453 161430237 154466988 8372592
87187835784th iteration: 1878899813 7368365 2671912784 2121607448
87402584148th iteration: 4562047901 4985396477 3421987400 21164912
87617332512th iteration: 254532557 2809636229 1372815800 2957933744
87832080876th iteration: 6931507893 2682642573 939312144 6813175500
88046829240th iteration: 119573 902918213 662041604 694181720
88261577604th iteration: 1801093565 1052386229 56082824 1597670612
88476325968th iteration: 3664210269 5212491093 2499888 4739963340
88691074332th iteration: 1677279149 922990637 1536990428 75175136
88905822696th iteration: 1956794693 689066165 4968241148 5076065984
89120571060th iteration: 3051719141 46258373 2604844940 1942749776
89335319424th iteration: 2914577573 934897733 7333567412 7150898312
89550067788th iteration: 4042370189 2366082869 124492952 3584773220
89764816152th iteration: 24895517 3490642085 2914457384 4281325184
89979564516th iteration: 4142913005 1648177277 562813772 4227298256
90194312880th iteration: 75197 2327759861 2297488100 3083429432
90409061244th iteration: 4633501461 2518844853 4538644224 249480312
90623809608th iteration: 5502037853 5860960445 3467996 4144298336
90838557972th iteration: 780895341 65946549 1431236136 1301873664
91053306336th iteration: 5549992949 517737773 2593044680 5594227808
91268054700th iteration: 1972916277 769604853 1993317072 273858828
91482803064th iteration: 4693111757 4411718261 338580788 2301351944
91697551428th iteration: 5280270917 3908498957 5520193916 6995420
91912299792th iteration: 22941701 2658629597 2122278488 3165816164
92127048156th iteration: 1439419389 1015017837 35700744 1653875700
92341796520th iteration: 355383549 3318383997 6237655980 6027235344
92556544884th iteration: 316355213 171457085 16718084 305547128
92771293248th iteration: 1645138365 1617118461 232491528 622192176
92986041612th iteration: 613949981 2593325837 5737143668 5954101364
93200789976th iteration: 1499444453 1669014533 1078873352 22401332
93415538340th iteration: 1977584933 1805052029 96857912 1065268976
93630286704th iteration: 2119361885 3609310853 184941128 3883295924
93845035068th iteration: 4570160277 52509 5713237296 4098109368
94059783432th iteration: 62697957 3311013 60027936 33837144
94274531796th iteration: 208333061 371673557 14833472 334355000
94489280160th iteration: 5767261421 4865722493 56 4070553860
94704028524th iteration: 1758231629 270571757 649273148 1785204716
94918776888th iteration: 5382369989 3166074125 5893794524 292292732
95133525252th iteration: 2764998965 201487133 1351607408 2599489484
95348273616th iteration: 1666399133 3386596085 3561907088 300263084
95563021980th iteration: 3225519893 1296006005 3302597636 432372536
95777770344th iteration: 1184499437 1573342229 5489233880 5496226724
95992518708th iteration: 6163453989 95441373 3916373436 5289814752
96207267072th iteration: 1941486821 3559573565 3313276736 170417948
96422015436th iteration: 169713005 2961798773 3045460844 1634980268
96636763800th iteration: 3174471965 398293541 1272503348 3097619876
96851512164th iteration: 3166278245 6298067261 5886871568 415346456
97066260528th iteration: 3291305933 339369077 1516398632 3430267028
97281008892th iteration: 787439501 6444537173 2611971884 6267949292
97495757256th iteration: 5339501333 24866261 4321845320 3673492016
97710505620th iteration: 1702893941 1201719677 1554602324 8
97925253984th iteration: 317 912286133 1294336712 1102040468
98140002348th iteration: 2266149605 4157789237 269643104 4390092824
98354750712th iteration: 1426046685 1696660653 21330096 1098095496
98569499076th iteration: 21309 4367503557 4955092200 6119354304
98784247440th iteration: 5844537005 4001090549 4748207744 30251432
98998995804th iteration: 13630101 3602100189 4247521404 5175854016
99213744168th iteration: 4619254037 3582534581 4087340 3342747632
99428492532th iteration: 255647421 4269659445 4442342436 2350644468
99643240896th iteration: 3227006189 66043949 3742249316 2347833656
99857989260th iteration: 880838877 5744815749 5667257604 2077433400
100072737624th iteration: 3390078317 171710381 5104957844 5762474708
100287485988th iteration: 580973525 1130040269 67958744 1046607332
100502234352th iteration: 1378147365 6223437 1718715876 1195622712
100716982716th iteration: 312924717 386757213 265511196 1917324
100931731080th iteration: 2734361909 1449850613 199884560 2912847308
101146479444th iteration: 1536515693 513254813 1523370680 268148804
101361227808th iteration: 717180941 4193345261 4234617680 1442012648
101575976172th iteration: 99059589 2765142645 4505434668 3986806608
101790724536th iteration: 2332176869 12612965 2526126512 1728941384
102005472900th iteration: 172805 2737009061 1933891412 2522421332
102220221264th iteration: 1999737965 5945740661 1048799096 5994935108
102434969628th iteration: 1624654053 62747757 1048830252 1824154668
102649717992th iteration: 1678819061 2420371061 59496644 2731663844
102864466356th iteration: 2578100213 5869809941 5657958380 593694896
