nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015

In seek
Running fuchsian
38300000000th iteration: 2934610740 91026648 1715761809 2602972713
38400000000th iteration: 2853462016 3037264972 224036569 1478398993
38500000000th iteration: 2421490456 1695060628 63458641 2781106945
38600000000th iteration: 621725724 1159329456 1234472529 81507681
38700000000th iteration: 1795045540 137678248 1913485081 938196361
38800000000th iteration: 11433720 207777012 209009937 114156921
38900000000th iteration: 214355428 30057256 81603241 211341745
39000000000th iteration: 2330735248 1614471496 5346937 1995602569
39100000000th iteration: 1074896848 748131448 1803649 916925545
39200000000th iteration: 447048688 498852508 282421945 18817849
39300000000th iteration: 532584432 26543256 584763153 320244009
39400000000th iteration: 2090651332 408486340 2084530657 646645681
39500000000th iteration: 227405284 484 317747737 255541465
39600000000th iteration: 1419818448 1478819592 84558537 783392553
39700000000th iteration: 1826254312 1700264752 2340449041 140305
39800000000th iteration: 589096900 1565224 645634009 448219537
39900000000th iteration: 23869500 1551194508 1843430529 1190152353
40000000000th iteration: 613547104 848509816 619369 660428521
40100000000th iteration: 3155134732 3077558080 1263821689 396238969
40200000000th iteration: 1627376080 1703088904 2404009 1204303177
40300000000th iteration: 2117477476 100 1511698633 2025643561
40400000000th iteration: 1729851336 5212164 2485241361 2273430249
40500000000th iteration: 1162550128 58641052 1098481393 630442297
40600000000th iteration: 1412252824 2108798068 69583633 2393754865
40700000000th iteration: 2234797840 212417788 2340257689 1067696473
40800000000th iteration: 2221088644 1982670916 30516697 1431495193
40900000000th iteration: 258703608 25860000 267851073 120057009
41000000000th iteration: 6585324 2013591948 2538480681 1788272097
41100000000th iteration: 3096 452716416 430718673 587597985
41200000000th iteration: 1553014396 43018864 1754946721 1062106009
41300000000th iteration: 1847806732 2606332960 560641 2448034177
41400000000th iteration: 107915692 902973964 931025305 386355169
41500000000th iteration: 2489182336 28343560 1986242017 3002482297
41600000000th iteration: 21788464 22521436 2217409 10024681
41700000000th iteration: 517292272 56168956 914639785 991765177
41800000000th iteration: 586880004 174586248 1437001065 1407729393
41900000000th iteration: 429442948 319805416 1490463745 1493088361
42000000000th iteration: 2327867856 1628574648 56114097 2644268649
42100000000th iteration: 379229268 3094386456 1292937585 3144730521
42200000000th iteration: 1919702944 412480684 550710697 1916445505
42300000000th iteration: 977244 303665964 346543881 431916921
42400000000th iteration: 657745452 939465180 773983209 1615689
42500000000th iteration: 9679356 2500047804 2287088577 1720085913
42600000000th iteration: 57931660 92056192 81930817 1632841
42700000000th iteration: 138618036 1694810328 3080985081 2827073985
42800000000th iteration: 28023244 289333984 513721777 534030865
42900000000th iteration: 1286002396 106808656 1218694369 603816769
43000000000th iteration: 1536336892 717837232 131128201 1469450065
43100000000th iteration: 235457476 2823995956 2991022873 1428183265
43200000000th iteration: 143575972 376996 106049353 151382329
43300000000th iteration: 653585788 2373057724 2374719625 535794673
43400000000th iteration: 909287400 1301154756 2577657 1071303897
43500000000th iteration: 257508376 2792013424 2761977961 1293396049
43600000000th iteration: 1763314444 2431230304 1566841 1885586401
43700000000th iteration: 2572959648 2712127980 6738369 1900185393
43800000000th iteration: 2792440492 2955289180 148574281 1603893337
43900000000th iteration: 49452004 1261090468 1133085361 709106017
44000000000th iteration: 1908986208 987209208 1814558217 117220137
44100000000th iteration: 554248224 45128184 923332785 1006951137
44200000000th iteration: 1019043052 761964640 1529137 1082595961
44300000000th iteration: 1951861012 1648603108 26959993 1253105857
44400000000th iteration: 1778479852 2491867996 59925265 2886438577
44500000000th iteration: 3251098456 524605204 1142627929 3220198201
44600000000th iteration: 1309206256 635680936 1231109089 97442209
44700000000th iteration: 1515361744 21585052 2291254585 1904958889
44800000000th iteration: 1064667568 487524136 99899017 1045233529
44900000000th iteration: 1115225232 765636156 5525457 902284665
45000000000th iteration: 1240777132 1555553932 896593 1111815913
45100000000th iteration: 2501771200 1568019784 44489137 2149635049
45200000000th iteration: 322563636 246036180 81 238275873
45300000000th iteration: 1554632632 842642260 1489944097 80812321
45400000000th iteration: 2135410144 2166309352 326831401 790549153
45500000000th iteration: 85507024 2577839356 2925082369 1724328841
45600000000th iteration: 1681718616 1827393264 9027369 1250233761
45700000000th iteration: 85886284 1004187052 1061775505 502685689
45800000000th iteration: 2153964736 2182248904 326071009 801735961
45900000000th iteration: 1526908012 1518978304 487918033 284862601
46000000000th iteration: 1166888856 474923604 1142259729 142620321
46100000000th iteration: 2073582120 761979504 2044956273 309381393
46200000000th iteration: 25408936 1502624608 1697183881 1084570705
46300000000th iteration: 202842424 393271060 373147753 24301873
46400000000th iteration: 2469850468 501312100 741418441 2462045161
46500000000th iteration: 1411976752 1789523932 3591025 1269991201
46600000000th iteration: 50205880 1775883988 1052982121 1570748881
46700000000th iteration: 670291356 1447240656 1509960729 147649569
46800000000th iteration: 274770220 2675347036 2578201321 1167321193
46900000000th iteration: 51441352 2065207972 1457661193 2376317353
47000000000th iteration: 196328152 991120564 2106736873 2142594961
47100000000th iteration: 1092 1858717704 1319777169 1528359465
47200000000th iteration: 1482765952 144089416 2635387465 2737843777
47300000000th iteration: 699830764 968778076 3315400513 3322672897
47400000000th iteration: 4276620 2136861888 2589736281 1813387281
47500000000th iteration: 1490630140 1788238096 1265192233 1
47600000000th iteration: 335450916 2852842980 1231383537 2945578257
47700000000th iteration: 91934920 257770372 40429129 254299249
47800000000th iteration: 1521583648 1809808108 22964737 1170430537
47900000000th iteration: 2543231532 2536897440 387694689 930864369
48000000000th iteration: 281971600 126921916 273997537 27185257
48100000000th iteration: 402349564 2196284752 2182260049 710405305
48200000000th iteration: 395864740 396936328 125006329 75747793
48300000000th iteration: 766779384 598135476 914758161 10074369
48400000000th iteration: 2349175492 795653236 2341372657 404253625
48500000000th iteration: 17569764 2032822548 2448481665 1644684633
48600000000th iteration: 23351556 1925720904 2387514369 2883895161
48700000000th iteration: 1233103672 934455760 1458796321 20668057
48800000000th iteration: 1406613912 54303540 1262541609 793133169
48900000000th iteration: 103768396 1886895904 1044743353 1920062497
49000000000th iteration: 2420038152 161261988 1311327393 2560828497
